name,type,owner,quantity,location,hidden,price,thumbnail_ref,image_ref,tags,notes,bgg_id,year,weight,min_players,max_players,opt_players,min_playtime_minutes,max_playtime_minutes,rating,parent_game,system
Xadrez,board_game,,7,,FALSE,10,,,abstract;educational,Em tecido,171,1475,3.64,2,2,,,,7.2,,
Xadrez,board_game,,1,,FALSE,10,,,abstract;educational,,171,1475,3.64,2,2,,,,7.2,,
D&D - 3rd Edition Adventure Game,ttrpg,,1,A4,FALSE,11.97,,,,,,,,,,,,,,,dnd
D&D - 4th Edition Core Rulebook Colection,ttrpg,,1,A4,FALSE,90,,,,,,,,,,,,,,,dnd
D&D - 3rd Edition: Dugeon Master Guide,ttrpg,,1,A4,FALSE,22.45,,,,,,,,,,,,,,,dnd
D&D - 3rd Edition: Dugeon Monsters Manual,ttrpg,,1,A4,FALSE,24.19,,,,,,,,,,,,,,,dnd
D&D - 3rd Edition: Dugeon Player's Handbook,ttrpg,,1,A4,FALSE,23.69,,,,,,,,,,,,,,,dnd
Advanced D&D - 2nd Edition: Player's Handbook,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,dnd
Advanced D&D - 2nd Edition: The complete fighters handbook,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,dnd
Advanced D&D - 2nd Edition: Forgotten Realms: Cyclopedia of the Realms,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,dnd
Advanced D&D - 2nd Edition: Forgotten Realms: DM sourcebook,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,dnd
Exalted - The Tomb of 5 corners,ttrpg,,1,A4,FALSE,16.44,,,,,,,,,,,,,,,exalted
Exalted - Core rules,ttrpg,,1,A4,FALSE,38.92,,,,,,,,,,,,,,,exalted
Final Fantasy - Core rules,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,final_fantasy
Other worlds - Core Rules,ttrpg,,1,A4,FALSE,50,,,,,,,,,,,,,,,other_worlds
El señor de los anillos,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,lotr
Vampire dark ages - Core Rules,ttrpg,,1,A4,FALSE,16.44,,,,,,,,,,,,,,,
Vampire the masquerade - Bloodline book: ahrimanes,ttrpg,,1,A4,FALSE,16.44,,,,,,,,,,,,,,,vtm
Vampire the masquerade - La sombra,ttrpg,,1,A4,FALSE,16.44,,,,,,,,,,,,,,,vtm
Vampire the masquerade - Introductory kit,ttrpg,,1,A4,FALSE,20,,,,,,,,,,,,,,,vtm
Vampire the requiem - Core Rules,ttrpg,,2,A4,FALSE,16.44,,,,,,,,,,,,,,,
Vampire the masquerade - O classico,ttrpg,,1,A4,FALSE,34.92,,,,,,,,,,,,,,,vtm
Vampire the requiem - Introductory scenarios,ttrpg,,1,A4,FALSE,16.44,,,,,,,,,,,,,,,
Demon The fallen - StoryTellers companion,ttrpg,,1,A4,FALSE,34.92,,,,,,,,,,,,,,,dtf
Demon The fallen - Dammend and Deceived,ttrpg,,1,A4,FALSE,16.44,,,,,,,,,,,,,,,dtf
Demon The fallen - Saviours and Destroyers,ttrpg,,1,A4,FALSE,36.44,,,,,,,,,,,,,,,dtf
Demon The fallen - Game Master Screen,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,dtf
Call of Cthulhu - beyond the mountain of menace,ttrpg,,1,A4,FALSE,40,,,,,,,,,,,,,,,coc
Mindjammer,ttrpg,,1,A4,FALSE,60,,,,,,,,,,,,,,,mindjammer
Hunter: The reckoning,ttrpg,,1,A4,FALSE,38.92,,,,,,,,,,,,,,,hunter
Gurps - Magic,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,gurps
Dread,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,dread
Legend of the 5 rings - 2nd edition - core,ttrpg,,1,A4,FALSE,40,,,,,,,,,,,,,,,lot5r
Legend of the 5 rings - 2nd edition - way of the ratling,ttrpg,,1,A4,FALSE,20,,,,,,,,,,,,,,,lot5r
Dragon age - set 1,ttrpg,,1,A4,FALSE,30,,,,,,,,,,,,,,,dragon_age
Doctor who - core set,ttrpg,,1,A4,FALSE,45,,,,,,,,,,,,,,,dr_who
Battle Tech - Maximum Tech,ttrpg,,1,A4,FALSE,16.46,,,,,,,,,,,,,,,battle_tech
Battle Tech - Maps,ttrpg,,1,A4,FALSE,2.05,,,,,,,,,,,,,,,battle_tech
Besm - big eyes small mouth revised 2nd Edition,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,besm
Mage the awakening - Introductionary scenario,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,mta
Necromunda - Rule book,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,necromunda
Necromunda - Source book,ttrpg,,1,A4,FALSE,0,,,,,,,,,,,,,,,necromunda
Anima,board_game,,1,,FALSE,15,,,,,24935,2006,2.17,2,5,4,60,60,5.8,,
Vem ai a Troika,board_game,,1,,FALSE,12,,,historical,,133713,2012,1.93,2,4,3,45,45,6,,
La Tripulación: Misión Mar Profundo,board_game,,1,,FALSE,15,,,cooperative;trick-taking;family;recommended,,324856,2021,2.05,2,5,4,20,20,8,,
Scout,board_game,,1,,FALSE,17.23,,,pattern-building;western;recommended,,291453,2019,1.39,2,5,4,20,20,7.8,,
Coup,board_game,,1,,FALSE,20,,,social-deduction,,131357,2012,1.42,2,6,5,15,15,7,,
Unlock!: Escape Adventures,board_game,,1,,FALSE,30.99,,,cooperative;adventure;horror;mystery,,213460,2017,2.12,2,6,2,45,75,7.3,,
Jaipur,board_game,,1,,FALSE,14.02,,,card-drafting;medieval,,54043,2009,1.46,2,2,,30,30,7.5,,
Café,board_game,,1,,FALSE,18.98,,,Engine-building;recommended,,284936,2020,2.05,1,4,2,20,45,7.1,,
Sushi Go!,board_game,,1,,FALSE,10,,,,,133473,2013,1.16,2,5,4,15,15,7,,
Inkognito,board_game,,1,,FALSE,15,,,,,353,1997,1.65,3,5,4,20,30,5.5,,
Decrypto,board_game,,1,,FALSE,27.45,,,word;family,,225694,2018,1.83,3,8,6,15,45,7.8,,
Twilight Imperium 2nd edition,board_game,,1,,FALSE,73.57,,,area-control;asymmetric;sci-fi;space;war;heavy,,26055,2000,3.46,2,6,6,240,240,6.9,,
Trench,board_game,,1,,FALSE,40,,,abstract;historical,,102881,2013,3.45,2,2,,45,45,7.2,,
Warhammer: Invasion,board_game,,1,,FALSE,40,,,asymmetric;engine-building;fantasy;sci-fi;war;medium,,47185,2009,2.74,2,2,,45,45,7.2,,
Cat Lady,board_game,,1,,FALSE,29,,,card-drafting;animals;family,,228504,2017,1.37,2,4,2,15,30,7,,
Cat in the Box: Deluxe Edition,board_game,,1,,FALSE,,,,trick-taking;science,,345972,2022,2.05,2,5,4,20,40,7.4,,
Hanamikoji,board_game,,1,,FALSE,17.34,,,,,158600,2013,1.67,2,2,,15,15,7.4,,
Trio,board_game,,1,,FALSE,,,,party;memory;family;recommended,,352515,2021,1.07,3,6,5,15,15,7.4,,
Long Shot: The Dice Game,board_game,,1,,FALSE,21.45,,,dice;roll-and-write;historical;family,,295374,2022,1.95,1,8,5,25,25,7.5,,
Letter Jam,board_game,,1,,FALSE,15,,,cooperative;word;family;recommended,,275467,2019,1.97,2,6,6,45,45,7.1,,
Bloodbowl - Death Zone Season 1,,,1,,FALSE,23,,,,,,,,,,,,,,,
Bloodbowl - Death Zone Season 2,,,1,,FALSE,23,,,,,,,,,,,,,,,
Legions of Steel,board_game,,1,,FALSE,40,,,,,2091,1992,2.94,2,5,2,180,180,7.3,,
Gipf,board_game,,1,,FALSE,25,,,,,527,1996,2.76,2,2,,30,60,7.1,,
Abalone,board_game,,1,,FALSE,39.91,,,abstract,,526,1987,2.15,2,2,,30,30,6.5,,
Go,board_game,,1,,FALSE,20,,,abstract,,188,-2200,3.92,2,2,,30,180,7.7,,
Imperium,board_game,,1,,FALSE,14.97,,,sci-fi;space,,3661,1977,2.61,2,2,,180,300,6.9,,
Turing Machine,board_game,,1,,FALSE,37,,,puzzle,,356123,2022,2.53,1,4,1,20,20,7.6,,
Azul,board_game,,1,,FALSE,50,,,pattern-building,,230802,2017,1.77,2,4,2,30,45,7.7,,
Carcassone,board_game,,1,,FALSE,21.99,,,tile-laying;worker-placement;medieval;family;recommended,,822,2000,1.88,2,5,2,30,45,7.4,,
